Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09 00:00:00,66740.0,1902
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31 00:00:00,1800.0,1888
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31 00:00:00,1551152.0,2013 (1888)
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31 00:00:00,815094.0,1981
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06 00:00:00,1467373.0,1989
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31 00:00:00,718877.0,2008
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",1997-05-05 00:00:00,796343.0,1982
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20 00:00:00,2488.0,1969
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09 00:00:00,1158449.0,1932
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02 00:00:00,874761.0,1981
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28 00:00:00,4977.0,1955
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05 00:00:00,1090872.0,1999
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30 00:00:00,2969.0,1940
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12 00:00:00,1086222.0,1998
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13 00:00:00,766421.0,1985
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01 00:00:00,915913.0,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20 00:00:00,1035443.0,1994
ALXN,Alexion Pharmaceuticals,reports,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25 00:00:00,899866.0,1992
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19 00:00:00,1097149.0,1997
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02 00:00:00,1579241.0,1908
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01 00:00:00,352541.0,1917
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13 00:00:00,899051.0,1931
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03 00:00:00,1652044.0,1998
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03 00:00:00,1652044.0,1998
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04 00:00:00,764180.0,1985
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18 00:00:00,1018724.0,1994
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07 00:00:00,1748790.0,2019 (1860)
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19 00:00:00,1002910.0,1902
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23 00:00:00,6201.0,1934
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04 00:00:00,4904.0,1906
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",1976-06-30 00:00:00,4962.0,1850
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31 00:00:00,5272.0,1919
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19 00:00:00,1053507.0,1995
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04 00:00:00,1410636.0,1886
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03 00:00:00,820027.0,1894
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30 00:00:00,1140859.0,1985
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23 00:00:00,1037868.0,1930
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02 00:00:00,318154.0,1980
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30 00:00:00,820313.0,1932
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12 00:00:00,6281.0,1965
ANSS,"ANSYS, Inc.",reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19 00:00:00,1013462.0,1969
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25 00:00:00,1156039.0,2014 (1946)
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23 00:00:00,315293.0,1982 (1919)
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26 00:00:00,91142.0,1916
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28 00:00:00,6769.0,1954
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30 00:00:00,320193.0,1977
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16 00:00:00,6951.0,1967
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24 00:00:00,1521332.0,1994
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29 00:00:00,7084.0,1902
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28 00:00:00,1596532.0,2004
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31 00:00:00,354190.0,1927
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10 00:00:00,1267238.0,1892
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717.0,1983 (1885)
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15 00:00:00,731802.0,1906
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01 00:00:00,769397.0,1982
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31 00:00:00,8670.0,1949
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02 00:00:00,866787.0,1979
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10 00:00:00,915912.0,1978
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31 00:00:00,8818.0,1990
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07 00:00:00,1701605.0,2017
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31 00:00:00,9389.0,1880
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30 00:00:00,70858.0,1998 (1923 / 1874)
BK,The Bank of New York Mellon,reports,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31 00:00:00,1390777.0,1784
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30 00:00:00,10456.0,1931
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30 00:00:00,10795.0,1897
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16 00:00:00,1067983.0,1839
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29 00:00:00,764478.0,1966
BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22 00:00:00,12208.0,1952
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13 00:00:00,875045.0,1978
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04 00:00:00,1364742.0,1988
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04 00:00:00,12927.0,1916
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06 00:00:00,1075531.0,1996
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19 00:00:00,908255.0,1880
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03 00:00:00,1037540.0,1970
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24 00:00:00,885725.0,1979
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",1957-03-04 00:00:00,14272.0,1989
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08 00:00:00,1730168.0,1961
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18 00:00:00,1383312.0,1962
BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31 00:00:00,14693.0,1870
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02 00:00:00,1043277.0,1905
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23 00:00:00,858470.0,1989
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",2017-09-18 00:00:00,813672.0,1988
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04 00:00:00,16732.0,1869
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01 00:00:00,927628.0,1935
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27 00:00:00,721371.0,1971
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28 00:00:00,1170010.0,1993
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22 00:00:00,815097.0,1972
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03 00:00:00,1783180.0,2020 (1915)
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21 00:00:00,1596783.0,2007
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04 00:00:00,18230.0,1925
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01 00:00:00,1374310.0,1973
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10 00:00:00,1138118.0,1906
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23 00:00:00,1402057.0,1984
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24 00:00:00,1306830.0,1918
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30 00:00:00,1071739.0,1984
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31 00:00:00,1130310.0,1882
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30 00:00:00,804753.0,1979
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27 00:00:00,1324404.0,1946
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02 00:00:00,316709.0,1971
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08 00:00:00,1091667.0,1993
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04 00:00:00,93410.0,1879
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28 00:00:00,1058090.0,1993
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15 00:00:00,896159.0,1985
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29 00:00:00,313927.0,1847
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30 00:00:00,1739940.0,1982
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18 00:00:00,20286.0,1950
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01 00:00:00,723254.0,1929
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01 00:00:00,858877.0,1984
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",1988-05-31 00:00:00,831001.0,1998
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29 00:00:00,759944.0,1828
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01 00:00:00,877890.0,1989
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31 00:00:00,21076.0,1913
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11 00:00:00,1156375.0,1848
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03 00:00:00,811156.0,1886
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04 00:00:00,21344.0,1886
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17 00:00:00,1058290.0,1994
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",1957-03-04 00:00:00,21665.0,1806
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19 00:00:00,1166691.0,1963
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01 00:00:00,28412.0,1849
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31 00:00:00,23217.0,1919
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04 00:00:00,1163165.0,2002
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862.0,1823
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01 00:00:00,16918.0,1945
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23 00:00:00,711404.0,1958
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02 00:00:00,900075.0,1982
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741.0,1851
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03 00:00:00,1755672.0,2019
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01 00:00:00,909832.0,1976
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14 00:00:00,1051470.0,1994
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30 00:00:00,277948.0,1980
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31 00:00:00,26172.0,1919
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04 00:00:00,64803.0,1996
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",2005-06-22 00:00:00,882184.0,1978
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616.0,1969
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944.0,1938
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31 00:00:00,927066.0,1979
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04 00:00:00,315189.0,1837
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11 00:00:00,27904.0,1929
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14 00:00:00,818479.0,2016 (1969)
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30 00:00:00,1090012.0,1971
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",2020-05-12 00:00:00,1093557.0,1999
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03 00:00:00,1539838.0,2007
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18 00:00:00,1297996.0,2004
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02 00:00:00,1393612.0,1985
DISCA,"Discovery, Inc. (Class A)",reports,Communication Services,Broadcasting,"New York, New York",2010-03-01 00:00:00,1437107.0,1985
DISCK,"Discovery, Inc. (Class C)",reports,Communication Services,Broadcasting,"New York, New York",2014-08-07 00:00:00,1437107.0,1985
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13 00:00:00,1001082.0,1980
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03 00:00:00,29534.0,1939
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19 00:00:00,935703.0,1986
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957.0,1983
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12 00:00:00,1286681.0,1960
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31 00:00:00,29905.0,1955
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01 00:00:00,1751788.0,2019
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04 00:00:00,936340.0,1995
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30 00:00:00,1326160.0,1904
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26 00:00:00,783280.0,1972
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02 00:00:00,1666700.0,2017
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04 00:00:00,1688568.0,2017
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01 00:00:00,915389.0,1920
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182.0,1911
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088.0,1995
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31 00:00:00,31462.0,1923
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",1957-03-04 00:00:00,827052.0,1886
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01 00:00:00,1099800.0,1958
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22 00:00:00,712515.0,1982
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31 00:00:00,32604.0,1890
ENPH,Enphase Energy,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2021-01-07 00:00:00,1463101.0,2006
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04 00:00:00,65984.0,1913
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02 00:00:00,821189.0,1999
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19 00:00:00,33185.0,1899
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20 00:00:00,1101239.0,1998
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03 00:00:00,906107.0,1969
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"San Mateo, California",2014-04-02 00:00:00,920522.0,1971
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York, New York",2006-01-05 00:00:00,1001250.0,1946
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",2020-09-21 00:00:00,1370637.0,2005
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05 00:00:00,1711269.0,1909
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",,72741.0,1966
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19 00:00:00,1095073.0,1973
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04 00:00:00,1109357.0,2000
